latitude,longitude,date,event
17.15157,105.59616,5/4/1967 0:00:00,1000 LB GPB M-65 A-1 Road Cut Total Bombs = 58
17.16546,105.59338,5/4/1967 0:00:00,1000 LB GPB M-65 A-1 Road Cut Total Bombs = 2
17.16546,105.59338,5/4/1967 0:00:00,1000 LB GPB M-65 A-1 Road Cut Total Bombs = 4
17.39323,105.72946,5/4/1967 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Unobserved Total Bombs = 75
17.32656,105.72114,5/9/1967 0:00:00,1000 LB General Purpose Bomb - High Drag Bridge Destroyed Total Bombs = 8
17.20269,106.15303,5/30/1967 0:00:00,1000 LB GPB M-65 A-1 FOSD Cut Total Bombs = 325
17.06826,106.06277,9/3/1967 0:00:00,1000 LB GPB M-65 A-1 AA/AAA Site   Total Bombs = 12
17.16407,105.58783,2/5/1968 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Unobserved Total Bombs = 1
17.18908,106.14609,2/17/1968 0:00:00,1000 LB GPB M-65 A-1 Area/Depot Unobserved Total Bombs = 5
17.21547,106.16275,7/24/1968 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 5
17.27185,106.17858,7/24/1968 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 2
17.20769,106.1633,7/25/1968 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 6
17.20769,106.1633,7/25/1968 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 8
17.48488,105.71281,7/26/1968 0:00:00,1000 LB GPB M-65 A-1 Road Cut Total Bombs = 1617
17.32656,105.72114,11/19/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Secondary Fire Total Bombs = 17
17.2349,105.81835,11/19/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Secondary Fire Total Bombs = 2
17.21685,105.82807,11/19/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Destroyed Total Bombs = 2
17.37045,105.70864,11/19/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Secondary Fire Total Bombs = 2
17.30156,105.72003,11/20/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Secondary Fire Total Bombs = 2
17.321,105.53783,11/20/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle SEC Explose Total Bombs = 7
17.296,105.59282,11/22/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle ONTGT/NO BDA Total Bombs = 2
17.296,105.59282,11/22/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle ONTGT/NO BDA Total Bombs = 4
17.33545,105.70725,11/24/1968 0:00:00,1000 LB GPB M-65 A-1 Area/Depot ONTGT/NO BDA Total Bombs = 2
17.33545,105.70725,11/24/1968 0:00:00,1000 LB GPB M-65 A-1 Area/Depot ONTGT/NO BDA Total Bombs = 4
17.33545,105.70725,11/24/1968 0:00:00,1000 LB GPB M-65 A-1 Area/Depot SEC Explose Total Bombs = 6
17.08908,105.91695,11/24/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle ONTGT/NO BDA Total Bombs = 2
17.36544,105.51422,11/24/1968 0:00:00,1000 LB GPB M-65 A-1 Antenna Secondary Fire Total Bombs = 2
17.33545,105.70725,11/24/1968 0:00:00,1000 LB GPB M-65 A-1 Area/Depot SEC Explose Total Bombs = 8
17.301,105.77613,11/24/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Prob Destroy Total Bombs = 22
17.37323,105.72281,11/25/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle ONTGT/NO BDA Total Bombs = 2
17.301,105.74446,11/25/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle ONTGT/NO BDA Total Bombs = 2
17.16936,105.83696,11/26/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Cut Total Bombs = 2
17.07187,105.95555,11/26/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle ONTGT/NO BDA Total Bombs = 5
17.371,105.70864,11/26/1968 0:00:00,1000 LB GPB M-65 A-1 Area/Depot ONTGT/NO BDA Total Bombs = 2
17.34045,105.7092,11/26/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Secondary Fire Total Bombs = 2
17.40239,105.7578,11/26/1968 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop SEC Explose Total Bombs = 2
17.48766,105.69781,11/26/1968 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop SEC Explose Total Bombs = 2
17.48766,105.69781,11/26/1968 0:00:00,1000 LB GPB M-65 A-1 Area/Depot SEC Explose Total Bombs = 4
17.22157,105.82391,11/27/1968 0:00:00,1000 LB GPB M-65 A-1 AA/AAA Site Secondary Fire Total Bombs = 2
17.401,105.74307,11/27/1968 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Cut Total Bombs = 2
17.25851,105.72947,11/28/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle ONTGT/NO BDA Total Bombs = 2
17.29989,105.74502,11/28/1968 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Secondary Fire Total Bombs = 2
17.40573,105.74891,11/28/1968 0:00:00,1000 LB GPB M-65 A-1 Area/Depot Secondary Fire Total Bombs = 2
17.331,105.67753,11/30/1968 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop ONTGT/NO BDA Total Bombs = 19
17.23404,106.17573,1/1/1969 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop SEC Explose Total Bombs = 251
17.28097,106.18638,1/3/1969 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop SEC Explose Total Bombs = 251
17.51382,105.67922,1/8/1969 0:00:00,1000 LB GPB M-65 A-1 Area/Depot SEC Explose Total Bombs = 204
17.24542,106.07798,1/10/1969 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop SEC Explose Total Bombs = 205
17.51193,105.70276,1/12/1969 0:00:00,1000 LB GPB M-65 A-1 Area/Depot SEC Explose Total Bombs = 560
17.25692,106.12509,1/13/1969 0:00:00,1000 LB GPB M-65 A-1 Road SEC Explose Total Bombs = 380
17.23491,106.07942,1/17/1969 0:00:00,1000 LB General Purpose Bomb - High Drag FOSD ONTGT/NO BDA Total Bombs = 174
17.62376,105.74613,2/5/1969 0:00:00,1000 LB GPB M-65 A-1 Area/Depot Unobserved Total Bombs = 1
17.40516,105.69697,2/23/1969 0:00:00,1000 LB Delay GPB Area/Depot Secondary Fire Total Bombs = 4
17.35155,105.43228,2/23/1969 0:00:00,1000 LB GPB M-65 A-1 Area/Depot Unobserved Total Bombs = 2
17.21685,105.82919,3/2/1969 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle ONTGT/NO BDA Total Bombs = 1
17.83484,105.04621,3/28/1969 0:00:00,1000 LB General Purpose Bomb - High Drag Bridge Secondary Fire Total Bombs = 206
17.33073,105.7267,7/4/1969 0:00:00,1000 LB General Purpose Bomb - High Drag AA/AAA Site Unobserved Total Bombs = 1
17.20575,105.95722,8/16/1969 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle ONTGT/NO BDA Total Bombs = 2
